Japanese,English,Pronunciation
人,people,hito
時間,time,jikan
年,year,toshi
事,thing,koto
仕方,way,shikata
日,day,hi
おとこ,man,otoko
状態,state,joutai
たくさん,lot,takusan
女性,woman,josei
国,country,kuni
生活,life,seikatsu
質問,question,shitsumon
大統領,president,daitouryou
子,child,ko
週間,week,shuukan
世界,world,sekai
種類,kind,shurui
場合,case,baai
問題,problem,mondai
事実,fact,jijitsu
家族,family,kazoku
物語,story,monogatari
ポイント,point,pointo
政府,government,seifu
お金,money,okane
問題,issue,mondai
部,part,bu
朝,morning,asa
男,guy,otoko
数,number,kazu
ジョブ,job,jobbu
夜,night,yoru
正しい,right,tadashii
学校,school,gakkou
場所,place,basho
戦争,war,sensou
キッド,kid,kiddo
月,month,tsuki
本,book,hon
時間,hour,jikan
公演,show,kouen
警察,police,keisatsu
プログラム,program,programu
パーティー,party,paatii
法律,law,houritsu
語,word,go
人,person,hito
家,home,ie
ビジネス,business,bishinesu
友人,friend,yuujin
会社,company,kaisha
側,side,soba
税金,tax,zeikin
民主党員,democrat,minshutou
グループ,group,gruupu
瞬間,moment,shunkan
ブレーク,break,bureeku
考え,idea,kangae
メンバー,member,membaa
システム,system,sisutemu
分,minute,bun
理由,reason,riyuu
運動,campaign,undou
作業,work,shigoto
国家,nation,kokka
会議,congress,kaigi
母,mother,haha
力,force,chikara
健康,health,kenkou
バック,back,bakku
範囲,area,han'i
名前,name,namae
報告書,report,houkoku-sho
手,hand,te
ライン,line,rain
終わり,end,owari
裁判所,court,saibansho
お手入れ,care,oteire
カップル,couple,kappuru
家,house,ie
アメリカン,american,amerikan
お父さん,father,otousan
状況,situation,jokyou
親,parent,oya
行政,administration,kanri
薬,drug,kusuri
市,city,ichi
感覚,sense,kankaku
ポリシー,policy,porishii
オフィス,office,ofisu
決定,decision,kettei
パワー,power,pawaa
予定,plan,yotei
盟主,leader,meishu
情報,information,jouhou
選挙,election,senkyo
映画,movie,eiga
死,death,shi
